Timonel;Pais;Club;Categoría;Proa Nº;Vela;Nombre del Barco;Tripulantes
GUILLERMO BELLINOTTO;ARG;CUBA / NCNE;;12;1198;;GRINGO PUEYRREDON & ALFONSO CAMPOS & NICOLAS CUBRIA
ADOLFO HÉCTOR BENAVIDEZ RUIZ;ARG;CVR / YCR ;;28;1302;ÑANDEYARA;LUCAS MISPIASEGUI & GUIDO POTENZA  & TOMAS PAGLINI 
FRANCISCO CAMPERO;ARG;CNSI;;14;1200;AMIGO VII;JUAN PABLO FREGONESE & ANDRES DOMATO & RAUL VIOLA
GUSTAVO CAPUSOTTO;ARG;YCA;;25;1299;guason forever;JAVIER LOPEZ & KARINA FILQUENSTEIN & SANTIAGO VODANOVICH
PAULO M. COSENTINO;ARG;YCA;;05;1191;;JOHN LAKE &  & CHAVO & NINIO
OSCAR DAGNINO;ARG;CNO - CNGSM;Corinthians;41;1552;Project;PABLO GIANNAVOLA  & PABLO PIÑEYRO  & ANABELLA DAGNINO
FERNANDO   GWOZDZ;ARG;YCA ;;46;1560;;BEEB BEEP  & FEDERICO TRAVASIO  & PIRU DI BERNARDO  & MANUEL  GONZALEZ VIDAL
CARLOS  LACCHINI;ARG;YCA - CRLP;Corinthian;01;1020;Si Querida;JUANI QUEIREL & ANA JULIA LACCHINI & LIHUEL GOMEZ LACCHINI & ULISES GOMEZ LACCHINI
JOSÉ LOVIGNÉ;ARG;YCR;;40;1551;MAERS;FEDERICO COLELLA & DANTE CITTADINI & SEGUNDO GARCIA
CRISTIAN PAGLINI;ARG;YCR;Corinthians;49;1557;Ganesh IV;CURA RAMIRO & ALVARO ACEVEDO & MATIAS DIETRICH
SERGIO PENDOLA;ARG;CNO;Corintians;13;1199;Cacique;JUAN LUPO & DIEGO BELLI & AGUSTIN CRISTIANO
MATIAS  PEREIRA;ARG;CNO;;71;1555;blue;FERNANDO CASANELLO & EMILIANO HOMPS & EDGARDO LOZANO
JUANI PEREYRA;ARG;CNO;;39;1441;Homero;PEPE BETTINI & FEDE CALABRESE
IGNACIO RUIZ MORENO;ARG;CNAs;Corinthians;22;1296;Zaratoka;NICOLAS GUILLE & ALEJANDRO JUAN DE PAZ & EZEQUIEL NAVARI
FEDERICO SANCHEZ;ARG;YCA;Corinthians;29;1433;Spinetta;FEDERICO SÁNCHEZ & GUILLERMO DE BARRIO & IGNACIO BERTOLINI & FERNANDO IGUERATEGUI
ALEJANDRO SESSAREGO;ARG;CVSI CNSE;;23;1738;Macarena;ALEJANDRO SESSAREGO & EZEQUIEL VESCIO & CARLOS BARONE & ESTEBAN AFONSO
MARIANO TAVELLI;ARG;YCA;Corinthians;31;1436;DAI !;CARLOS AGNOLETTI & ANDRÉS FOX & KIKE WIEDEMAN
MARIANO VICTORY;ARG;YCA;;04;1190;;MARTÍN BODAS & JOSÉ IGNACIO VILLAR & PEDRO CISCATO & JAVIER TAVELLA
MAXIMO VIDELA;ARG;YCA;Corinthian;03;1189;Whisky;FRANCO GREGGI & SANTIAGO PALKIN & JUAN CRUZ ALBAMONTE & EUGENIA JASSON
CRISTIAN  VOGT;ARG;YCR;;43;1558;Indicado;MARIO GERMAN DIAZ & DIEGO BAILARDO & NICOLÁS CUERDO
MARCOS  LEWIS;ARG;CVR;Corinthians;47;1559;HATTAN;MARCOS LEWIS & SANTIAGO DUNCAN & FACUNDO CAMPAZA & ELIAS DALLI & IGOR
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
